#separator:tab
#html:true
#columns:NoteID	Front	Back	Tags
2022S_FE_AM_78	<img src="Pasted image 20241022183221.png"><br><img src="Pasted image 20241022183229.png">	d)<br><br>i will work on this ##soon (or someone help discuss if its ok)	math business-administration philnits 2022S_FE_AM_78
2022A_FE_AM_79	When the estimated probabilities for the number of units that are sold per day for a product are as listed in the table below and the profit per unit is 10 dollars, what is the number of purchased units where the expected value for profit becomes a maximum? Here, a disposal loss of 3 dollars per unit is incurred if the product remains unsold on the day it was purchased.<br><br><img src="Pasted image 20241019134023.png"><br><br>**a) 4**<br><br>**b) 5**<br><br>**c) 6**<br><br>**d) 7**	**c) 6**<br><br>## **Explanation:**<br><br>To determine the number of purchased units that maximizes the expected value for profit, we need to calculate the expected profit for each number of purchased units based on the provided probabilities and the profit/loss structure.<br><br>### Profit Calculation:<br><br>- **Profit per sold unit** = $10<br>- **Loss per unsold unit** = $3<br><br>### Expected Profit Calculation:<br><br>Let's compute the expected profit for each scenario of purchased units (4, 5, 6, and 7).<br><br>#### 1. Purchased Units = 4<br><br>- Sold Units = 4 (100% probability)<br>- Profit = \(4 \text{ units} \times 10 \text{ dollars} = 40 \text{ dollars}\)<br><br>**Expected Profit** = $40<br>#### 2. Purchased Units = 5<br><br>- Sold Units:<br>    - 4 units (30% probability): Profit = \(4 \times 10-3 = 37\text{ dollars}\)<br>    - 5 units (70% probability): Profit = \(5 \times 10 = 50~\text{dollars}\)<br><br>\(\text{Expected Profit} = 0.30 \times 37 + 0.70 \times 50 = 11.1 + 35 = 46.1 \text{ dollars}\)<br><br>#### 3. Purchased Units = 6<br><br>- Sold Units:<br>    - 4 units (30% probability): Profit = \(4 \times 10 - 2 \times 3 = 40 - 6 = 34~\text{dollars}\)<br>    - 5 units (30% probability): Profit = \(5~ \times~10-3=47~\text{dollars}\)<br>    - 6 units (40% probability): Profit = \(6~\times~10=60~\text{dollars}\)<br>\(\text{Expected Profit}=0.30~\times~34+0.30~\times~47+0.40~\times~60=10.2+14.1+24=48.3~\text{dollars}\)<br>#### 4. Purchased Units = 7<br><br>- Sold Units:<br>    - 4 units (30% probability): Profit = \(4 \times 10 - 3 \times 3 = 40 - 9 = 31~\text{dollars}\)<br>    - 5 units (30% probability): Profit = \(5 \times 10 - 2 \times 3 = 50 - 6 = 44~\text{dollars}\)<br>    - 6 units (30% probability): Profit = \(6 \times 10 - 1 \times 3 = 60 - 3 = 57~\text{dollars}\)<br>    - 7 units (10% probability): Profit = \(7 \times 10 = 70~\text{dollars}\)<br><br>\(\text{Expected Profit}=0.30×31+0.30×44+0.30×57+0.10×70 =9.3+13.2+17.1+7=46.6  \text{ dollars}\)<br><br>#### Summary of Expected Profits:<br><br>- Purchased 4 units: $40<br>- Purchased 5 units: $46.1<br>- Purchased 6 units: $48.3<br>- Purchased 7 units: $46.6<br><br>### **Conclusion**:<br>The maximum expected profit occurs when purchasing **6 units**, with an expected profit of **$48.3**. Therefore, the answer is **c)**.	accounting math philnits 2022 2022A_FE_AM_79
2022A_FE_AM_80	Which of the following is an appropriate description of the scope of software protection under WTO’s Agreement on Trade-Related Aspects of Intellectual Property Rights (TRIPS)?<br><br>**a) Algorithms and programming languages are protected.**<br><br>**b) Application programs are protected but system programs such as an OS are not, as the value of the right is included in the hardware cost.**<br><br>**c) Both source programs and object programs are protected.**<br><br>**d) Documents that describe algorithms are protected, but programs created by using the algorithms are not.**	**c) Both source programs and object programs are protected.**<br><br>## **Explanation:**<br><br>Under the WTO's Agreement on Trade-Related Aspects of Intellectual Property Rights (TRIPS), **software protection includes both source code and object code**. This means that both the high-level language (source code) and the compiled form (object code) of software are protected as literary works. The TRIPS agreement establishes a framework for intellectual property rights, ensuring that member countries provide adequate protection for various forms of software.<br><br>### Overview of Other Options:<br><br>- **a)** **Algorithms and programming languages are protected**: This is not accurate, as TRIPS focuses on the protection of the software itself rather than the underlying algorithms or languages.<br>- **b)** **Application programs are protected but system programs such as an OS are not**: This is incorrect, as both types of programs are generally protected under TRIPS.<br>- **d)** **Documents that describe algorithms are protected, but programs created by using the algorithms are not**: This is also incorrect, as the actual programs (source and object) are protected under TRIPS.<br><br>Therefore, the answer is **c)**.	business-administration philnits 2022 2022A_FE_AM_80
2022S_FE_AM_1	For logical variables \(A\) and \(B\), which of the following is equivalent to the NOR operation on \(A\) and \(B\)? Here, \(A + B\), \(\overline{A} \times (\overline{A} + \overline{B})\), and \(\overline{A}\) are OR, AND, and NOT operations on the corresponding variables, respectively.<br><br>a) \(\overline{A} \cdot (A + \overline{B})\)<br>b) \(\overline{A} \cdot (\overline{A} + \overline{B})\)<br>c) \(B \cdot (A + \overline{B})\)<br>d) \(\overline{B} \cdot (\overline{A} + \overline{B})\)	a) \(\overline{A} \cdot (A + \overline{B})\)<br>### For problems like this, we can map out a truth table to validate our answer directly<br><br>\(\begin{array}{|c|c|c|c|c|c|c|c|c|} \hline A & B & \overline{A} & \overline{B} & \overline{A + B} & \overline{A} \cdot (A + \overline{B}) & \overline{A} \cdot (\overline{A} + \overline{B}) & B \cdot (A + \overline{B}) & \overline{B} \cdot (\overline{A} + \overline{B}) \\ \hline 0 & 0 & 1 & 1 & 1 & 1 & 1 & 0 & 1 \\ 0 & 1 & 1 & 0 & 0 & 0 & 1 & 0 & 0 \\ 1 & 0 & 0 & 1 & 0 & 0 & 0 & 0 & 1 \\ 1 & 1 & 0 & 0 & 0 & 0 & 0 & 1 & 0 \\ \hline \end{array}\)<br><br>Since a NOR operation on A and B is \(\overline{A + B}\), and that letter a) matches \(\overline{A+B}\). This proves that a) is the correct answer.	digital-logic philnits 2022 2022S_FE_AM_1
2022S_FE_AM_2	<img src="Pasted image 20241017231607.png">	a) (A AND 31) OR 64<br><br>### Let's assume A is a non-negative integer, in this case we can use 99.<br><br>\((99 \bmod 32) + 64\) = \(3 + 64\) = \(67\)<br><br>### Then, we test out each choices is it corresponds to the output.<br><br>**Bitwise Representation: A AND 31**<br>- \(A = 1100011\), \(31 = 0011111\)<br>- We then perform the AND operation<br><br> 1100011<br> 0011111<br> ---------<br> 0000011<br><br>**0000011** is 3, which is correct as 99 % 32 == 3<br><br>**+ 64**<br>- In binary terms, *+* == *OR*, so we're gonna be using the *OR* operator here.<br>- Since we already got the result of the modulo operation, which is **0000011**, all that's left is to add 64.<br>- \(64 = 1000000\)<br><br> 0000011<br> 1000000<br> ---------<br> 1000011<br><br>**1000011** is 67, which matches the output 67 in *DECIMAL*.<br><br>### Hence, the correct answer is a) as we used **(A AND 31) OR 64**	number-systems philnits 2022 2022S_FE_AM_2
2022S_FE_AM_3	<img src="Pasted image 20241018003514.png">	b) A continuous, bell-shaped distribution that is symmetric about its mean<br><br>### What is normal distribution?<br>- Normal distribution, also known as the Gaussian distribution, is a [probability distribution](https://www.investopedia.com/terms/p/probabilitydistribution.asp) that is symmetric about the mean, showing that data near the mean are more frequent in occurrence than data far from the mean. The normal distribution appears as a "[bell curve](https://www.investopedia.com/terms/b/bell-curve.asp)" when graphed.<br><br><img src="Pasted image 20241018004048.png"><br>### Analyzing each option:<br>a) “A continuous, bathtub-shaped distribution that is used to express the failure rate”<br>- **Bathtub-Shaped Distribution:** This typically refers to reliability engineering models where the failure rate changes over time, often decreasing initially, then constant, and increasing later—resembling a bathtub's cross-section.<br>- **Normal Distribution:** Does **not** have a bathtub shape. Instead, it is bell-shaped and symmetric.<br><br>b) “A continuous, bell-shaped distribution that is symmetric about its mean”<br>- **Continuous:** Yes.<br>- **Bell-Shaped:** Yes.<br>- **Symmetric About Mean:** Yes.<br><br>c) “A discrete distribution that expresses the probability of an event occurring a given number of   times in a fixed interval”<br>- **Discrete Distribution:** The normal distribution is **continuous**, not discrete.<br>- **Description Fits:** This description aligns more with the **Poisson** or **Binomial** distributions.<br><br>d) “A discrete distribution where all events have the same probability to occur”<br>- **Discrete Distribution:** The normal distribution is **continuous**, not discrete.<br>- **Uniform Probability:** This describes the **Uniform** discrete distribution.	probability statistics philnits 2022 2022S_FE_AM_3
2022S_FE_AM_41	Which of the following is an appropriate description of footprinting in computer security?<br>a) Digital forensic analysis to find the hacker after a hacking incident<br>b) Gathering information about an organization and its systems in preparation for an attack<br>c) Listing all affected files in the system in order to assess the impact of an attack<br>d) Setting up an intrusion detection system in order to detect when an attacker breaks into the internal network	b) Gathering information about an organization and its systems in preparation for an attack<br><br>## What is Footprinting?<br><br>Footprinting in computer security refers to the process of gathering information about a target organization and its systems. This is typically done in the early stages of a cyberattack to identify potential vulnerabilities. The goal of footprinting is to create a blueprint of the target's infrastructure, such as its network layout, security configurations, IP addresses, and other details that can help an attacker plan a more focused and effective attack.<br><br>-  A): Digital forensic analysis refers to the process of investigating a system **after** a cyber incident has occurred, which is not the same as footprinting.<br>-  **B): Correct—this describes footprinting, as it involves gathering information before launching an attack, helping hackers understand the target better.**<br>-  C): Listing affected files post-attack falls under incident response or forensics, not footprinting.<br>-  D): Setting up an intrusion detection system is part of defense mechanisms and doesn’t describe footprinting.	cybersecurity philnits 2022 2022S_FE_AM_41
2022S_FE_AM_42	<img src="Pasted image 20241018011116.png">	<img src="Pasted image 20241018005818.png"><br># What is ISO/IEC 27000?<br><br>The ISO/IEC 27000 family of standards, also known as the ISMS family of standards or, more simply, ISO27K, cover a broad range of information security standards published by both the International organisation for Standardisation and International Electrotechnical Commission. ISO 27000 recommends best practices—best practices for managing information risks by implementing security controls—within the framework of an overall Information Security Management System (ISMS).<br>## In ISO/IEC 27000:2018 (which provides the overview of information security management systems (ISMS)), the terms **authenticity** and **reliability** are defined as follows:<br><br>- **Reliability (I)**: The property of consistent intended behavior and results.<br>- **Authenticity (II)**: The property that an entity is what it claims to be.<br>- **Availability (III):** The property of being accessible and usable on demand by an authorized entity.<br>- **Confidentiality (IV):** The property that information is not made available or disclosed to unauthorized individuals, entities, or processes.	cybersecurity philnits 2022 2022S_FE_AM_42
2022S_FE_AM_43	When a mirror port is prepared to allow a LAN analyzer to be used for measurement in<br>order to investigate the cause of a network failure, which of the following is a point to<br>consider?<br>a) In preparation for a failure, it is necessary to inform network users of the storage location and usage method about the LAN analyzer.<br>b) Since LAN cables must be temporarily disconnected during measurement, it is necessary to give network users advance notice of the measurement date and time.<br>c) Since the LAN analyzer can display the packets that pass through the network, it is necessary to pay attention to misuse or abuse, such as wiretapping.<br>d) Since the LAN analyzer disposes of packets, it is necessary to restrict the use of the nontarget computers during measurement.	c) Since the LAN analyzer can display the packets that pass through the network, it is necessary to pay attention to misuse or abuse, such as wiretapping.<br><br>## **Explanation:**<br><br>A **LAN analyzer**, also known as a **packet analyzer**, is a tool used to monitor and capture network traffic for analysis. It helps network administrators troubleshoot issues like network failures, slowdowns, or security problems. To analyze network traffic, administrators typically use a mirror port (or SPAN port) to duplicate traffic to the analyzer without interrupting the flow of data in the network. However, since this tool captures all passing traffic, it can reveal sensitive information, making security precautions crucial. The key consideration when using a LAN analyzer is ensuring that the tool is not misused to access or exploit confidential data.<br><br>- A): Informing users of the storage location is not as important as securing the data being monitored.<br>- B): LAN analyzers typically do not require the disconnection of cables; they work passively.<br>- **C): Correct—preventing misuse and ensuring data security is critical**.<br>- D): LAN analyzers do not dispose of packets; they capture and display them for analysis.	networking philnits 2022 2022S_FE_AM_43
2022S_FE_AM_44	There is a network that is divided into three (3) segments, namely an external segment, a DMZ, and an internal segment, by one (1) firewall. In this network, a service for users is published on the Internet using a system comprising a web server and a database server that contains critical data. Which of the following is the most appropriate server installation method for protecting critical data from unauthorized access via the Internet? Here, the web server performs front end processing for the database server, and the firewall allows only a specific protocol for communication between the external segment and the DMZ as well as between the DMZ and the internal segment. Direct communication between the external segment and the internal segment is not allowed.<br>a) The web server and the database server are installed in the DMZ.<br>b) The web server and the database server are installed in the internal segment.<br>c) The web server is installed in the DMZ and the database server is installed in the internal segment.<br>d) The web server is installed in the external segment and the database server is installed in the DMZ.	c) The web server is installed in the DMZ and the database server is installed in the internal segment.<br><br>## Explanation:<br><br>The scenario described involves three network segments:<br><br>- **External Segment:** This part of the network is exposed to the Internet and is accessible by external users.<br>- **DMZ (Demilitarized Zone):** A buffer zone between the external network (Internet) and the internal network. It hosts public-facing services (like web servers) while adding a layer of protection for the internal network.<br>- **Internal Segment:** The most secure part of the network, where sensitive data (e.g., database servers) is kept.<br><br>In this setup, the **firewall** controls traffic between these segments by restricting direct communication between the **external** and **internal** segments, while allowing certain protocols between the **DMZ** and **internal** segments. This is to ensure that services exposed to the Internet (web servers) are separated from sensitive data (database servers) for security reasons.<br><br>- A): Installing both servers in the DMZ exposes the database to higher risk, as the DMZ is less secure.<br>- B): Both servers in the internal segment limit access to public services, violating security principles.<br>- **C): Correct—This setup isolates the critical data in the secure internal segment while allowing users to access the web server in the DMZ.**<br>- D): A web server in the external segment increases exposure to attacks, while placing the database in the DMZ compromises sensitive data.	cybersecurity philnits 2022 2022S_FE_AM_44
2022S_FE_AM_45	Which of the following is a system or network that is intentionally made vulnerable in<br>order to investigate the behavior of an intruder or malware?<br>a) Botnet<br>b) DMZ<br>c) Honey pot<br>d) SIEM	c) Honey pot<br>## **Explanation:**<br><br>In cybersecurity, certain strategies are employed to detect, analyze, and understand intrusions or malware attacks. One such strategy involves creating environments that appear vulnerable to attackers. These environments, often referred to as **honeypots**, are designed to lure intruders, allowing security professionals to study their tactics, techniques, and behaviors without risking actual systems.<br><br> - A): Botnet: A botnet is a network of infected devices controlled by a hacker, often used to perform malicious activities like DDoS attacks. It is not intentionally made vulnerable for investigation purposes.<br>- B): DMZ: A DMZ (demilitarized zone) is a physical or logical subnetwork that contains and exposes an organization’s external-facing services to an untrusted network, typically the Internet. It is not specifically designed for observing intruders.<br>- **C): Honey pot: Correct—A honeypot is a deliberately vulnerable system designed to attract attackers and gather intelligence on their methods, helping organizations strengthen their defenses.**<br>- D): SIEM: Security Information and Event Management (SIEM) systems aggregate and analyze security data from across an organization’s network but are not intentionally vulnerable systems.	cybersecurity philnits 2022 2022S_FE_AM_45
2022S_FE_AM_46	Among UML 2.x (including 2.0 and later versions) diagrams, which of the following is the most appropriate diagram that gives a graphic overview of the actors involved in a system, the different functions those actors need to perform, and how these different functions interact?<br>a) Activity diagram<br>b) Communication diagram<br>c) Interaction overview diagram<br>d) Use case diagram	d) Use case diagram<br>## **Explanation:**<br><br>UML (Unified Modeling Language) is a general-purpose modeling language which aims to define a standard way to visualize the way a system has been designed. It is quite similar to blueprints used in other fields of engineering. UML diagrams are used to visually represent different parts of a system, and each diagram type serves a unique purpose in system modeling.<br><br>- A): Activity diagram: Used to model workflows and processes, showing the flow of activities and decisions. We basically depict workflows visually using an activity diagram.<br>- B): Communication diagram: Used to show interactions between objects, emphasizing the exchange of messages. It's useful for understanding how objects collaborate but is not ideal for showing actors and system functions in a broad sense.<br>- C): Interaction overview diagram: Used to illustrate the flow of interactions between various elements in a system or process. It provides a high-level overview of how interactions occur, showing the sequence and flow of interactions. However, it is more complex and not focused on high-level actor-function relationships.<br>- **D): Use case diagram: Used to depict the functionality of a system or a part of a system. This diagram gives a clear graphic overview of the actors (users or external systems), their functions (the tasks they need to perform), and how these functions interact with the system. It is specifically designed for this purpose and is often used during the early stages of system design.**	systems-architecture philnits 2022 2022S_FE_AM_46
2022S_FE_AM_47	Which of the following is an appropriate explanation of encapsulation in object<br>orientation?<br>a) Abstraction and grouping of several objects that have common properties<br>b) Bundling of data and the procedures operating on the data as a single object and<br>concealment of their implementation inside the object<br>c) Creation of a base class by extracting the properties that are common among classes<br>d) Inheritance of the properties of a base class by a subclass	b) Bundling of data and the procedures operating on the data as a single object and<br>concealment of their implementation inside the object<br>## **Explanation:**<br><br>Encapsulation is a key concept in object-oriented programming (OOP). It refers to bundling the data (attributes) and methods (functions) that operate on the data within a single unit, usually an object. Encapsulation also involves restricting direct access to some of the object's components, which means that the internal workings (implementation details) of an object are hidden from the outside world, and only necessary aspects (like methods to manipulate data) are exposed.<br><br>- A) Abstraction and grouping of several objects that have common properties:  This option describes abstraction or class grouping, which refers to grouping objects based on common attributes or properties. This is more about classification than data hiding or bundling.<br>- **B) Bundling of data and the procedures operating on the data as a single object and concealment of their implementation inside the object:  Correct. It highlights both the bundling of data with methods and the concealment of internal implementation, which is central to encapsulation in OOP.**<br>- C) Creation of a base class by extracting the properties that are common among classes:  This describes generalization or abstraction, which is the process of creating a base class by factoring out common properties of derived classes.<br>- D) Inheritance of the properties of a base class by a subclass: This option explains inheritance, another OOP concept where a subclass inherits the attributes and methods of a parent class. While related to OOP, it is not an explanation of encapsulation.	programming object-oriented-programming philnits 2022 2022S_FE_AM_47
2022S_FE_AM_48	Which of the following is a technique that embeds logical expressions that hold true for<br>the relations or conditions between variables at specific points in the execution of a program<br>and verifies the validity of the program?<br>a) Assertion check<br>b) Code trace<br>c) Snapshot dump<br>d) Test coverage analysis	a) Assertion check<br>## **Explanation:**<br><br>A technique / method used during program execution that ensures specific conditions or relations between variables are true. This method helps verify the correctness of the program by checking that certain logical expressions hold true at different points during execution.<br><br>- **A) Assertion check: Assertion checks are used to verify that a condition in the program is true at a particular point. If the condition is false, the program usually stops executing, which helps catch errors early. Assertions are often used to ensure that variables meet certain criteria during execution, making them a key tool for verifying program correctness. For example, we may use assertion to check if the pointer returned by malloc() is NULL or not.**<br>- B) Code trace: Code tracing involves manually or automatically stepping through the program to track its execution and understand how it operates. While useful for debugging, it does not actively embed logical expressions that validate program correctness during execution.<br>- C) Snapshot dump: A snapshot dump captures the state of a program at a specific point in time, typically for debugging purposes. This includes details about the current memory usage, variables, object references, and the call stack of threads. In Java, this is often achieved through heap dumps or thread dumps. While this can be helpful in analyzing a program's behavior, it doesn't verify logical conditions in real-time.<br>- D) Test coverage analysis: Test coverage analysis measures how much of the program’s code is exercised by a set of tests, which is useful for ensuring code quality. It helps determine whether the tests adequately cover the codebase and which parts of the code are tested or not tested. However, it doesn't directly embed logical expressions to check conditions during execution.	programming philnits 2022 2022S_FE_AM_48
2022S_FE_AM_49	Which of the following is an appropriate test type that is conducted to ensure that the interfaces and linkages between different software parts work properly?<br>a) Acceptance test<br>b) Functional test<br>c) Integration test<br>d) Performance test	c) Integration test<br>## **Explanation:**<br><br>A type of software testing that specifically focuses on how different parts of a software system work together. This kind of testing ensures that the components or modules of a system interact correctly once combined, rather than focusing on individual components.<br><br>- A) Acceptance test: Acceptance testing is done to confirm that the software meets business requirements and is ready for delivery. It is performed later in the software lifecycle and focuses on whether the system satisfies user needs and acceptance criteria. This test type is not focused on checking how components interact but on the system's overall readiness.<br>- B) Functional test: Functional testing ensures that each function of the software operates according to specifications. It checks the application's functionality by providing inputs and comparing the actual output to the expected one, but it doesn’t focus on the interactions between multiple parts or modules of the system.<br>- **C) Integration test: Integration testing is a software testing technique that verifies the interactions between different software components or modules. After individual components have passed unit testing, they are integrated, and the goal is to test how they function as a whole. It helps detect issues related to the integration of different parts, ensuring they work together as expected.**<br>- D) Performance test: Performance testing evaluates how the system behaves under a specific workload. It focuses on factors like system responsiveness, stability, and scalability rather than on interactions between software components or modules.	project-management philnits 2022 2022S_FE_AM_49
2022S_FE_AM_50	Which of the following is a software development model that repeats the development processes from requirements analysis to implementation?<br>a) Prototyping model<br>b) Relational model<br>c) Spiral model<br>d) Waterfall model	c) Spiral model<br>## **Explanation:**<br><br>A software development model that involves an iterative approach, where the phases (such as requirements analysis, design, and implementation) are repeated through multiple cycles.<br><br>- A) Prototyping model: The prototyping model focuses on building a working prototype of the system to refine requirements through feedback, but it doesn't explicitly repeat all phases from requirements to implementation in a cyclic manner like the Spiral model.<br>- B) Relational model: The relational model is not a software development model but a data model used for databases. It defines how data is structured in terms of rows and tables (relations).<br>- **C) Spiral model: Spiral model is an iterative software development model that combines elements of both design and prototyping. It allows for repeated cycles, where each phase (such as planning, risk analysis, engineering, and evaluation) is revisited, refining the product progressively through multiple iterations.**<br>- D) Waterfall model: The Waterfall model is a linear and sequential approach where each phase (requirements, design, implementation, etc.) happens once, without going back to previous phases. It does not repeat the development processes like the Spiral model.	project-management philnits 2022 2022S_FE_AM_50
2022S_FE_AM_51	The software reengineering process can be divided into four sub-processes: program modularization, program structure improvement, reverse engineering, and source code translation. Which of the following is a process that focuses on functional analysis and information extraction?<br>a) Program modularization<br>b) Program structure improvement<br>c) Reverse engineering<br>d) Source code translation	c) Reverse engineering<br>## **Explanation:**<br><br>### **What is Software Re-Engineering?**<br><br>A systematic process aimed at improving and maintaining existing software systems. It typically involves analyzing the current software structure, breaking it down into manageable modules, improving its organization, and sometimes converting or reinterpreting its source code.<br><br>Identify which sub-process specifically focuses on understanding the software's functionality by analyzing and extracting critical information from the system, without necessarily changing its behavior or purpose.<br><br>- A) Program modularization: Program modularization involves dividing a software system into smaller, more manageable modules. While it helps make the program easier to maintain and modify, it is not focused on functional analysis or extracting information from the system.<br>- B) Program structure improvement: This sub-process focuses on optimizing and simplifying the software’s structure for better performance and readability. However, it doesn't involve functional analysis or extracting the software’s design details, which is the main objective of reverse engineering.<br>- **C) Reverse engineering: Reverse engineering is the process of analyzing software to understand its design, functionality, and architecture by extracting detailed information from the existing code or system. It helps engineers understand the underlying logic and structure of the system without modifying it. This process is particularly useful when documentation is lacking or the original developers are unavailable, and it forms a crucial part of software reengineering.**<br>- D) Source code translation: Source code translation refers to converting code from one programming language to another while preserving the program’s functionality. This process is about transforming the code rather than extracting information about the system's functionality or architecture.	software philnits 2022 2022S_FE_AM_51
2022S_FE_AM_52	Which of the following is an appropriate tool that implements a deliverable-oriented decomposition of a project into smaller components?<br>a) Critical path method (CPM)<br>b) Gantt chart (Gantt)<br>c) Program evaluation and review technique (PERT)<br>d) Work breakdown structure (WBS)	d) Work breakdown structure (WBS)<br>## **Explanation:**<br><br>In project management, it’s important to break down a project into manageable pieces for effective planning and execution. This process allows teams to focus on specific tasks, estimate costs and durations, and allocate resources efficiently.<br><br>Identify the tool that specifically focuses on this deliverable-oriented approach, which helps in organizing a project into smaller, more manageable components.<br><br>- A) Critical path method (CPM): CPM is a project management technique used to determine the longest sequence of dependent tasks and the minimum project duration. While it is useful for scheduling, it does not focus on breaking the project into smaller components like the WBS does.<br>- B) Gantt chart (Gantt): A Gantt chart is a visual representation of a project schedule, showing tasks along a timeline. While it helps track progress, it does not inherently involve the decomposition of project deliverables, which is the primary function of the WBS.<br>- C) Program evaluation and review technique (PERT): PERT is a statistical tool used to analyze and represent the tasks involved in completing a project, emphasizing the time needed to complete each task and identifying the minimum time required to complete the total project. However, like CPM, it does not focus on breaking down deliverables into smaller components.<br>- **D) Work breakdown structure (WBS): The Work Breakdown Structure (WBS) is a hierarchical decomposition of a project into smaller, more manageable sections, known as work packages. This tool provides a clear framework for organizing tasks, helping teams visualize the project scope and ensuring that all deliverables are accounted for. The WBS is essential for project planning, resource allocation, and tracking progress.**	project-management philnits 2022 2022S_FE_AM_52
2022S_FE_AM_53	Which of the following is an appropriate description of scope management?<br>a) The process of determining and documenting a list of all project goals, tasks, deliverables, deadlines, and budgets as a part of the planning process<br>b) The process of identifying, analyzing, and responding to any risk that arises over the life cycle of a project to help the project remain on track and achieve its goal<br>c) The process of planning, estimating, budgeting, and controlling project costs<br>d) The process of wisely managing the amount of time allocated to a project in order to meet the scheduled delivery date and conclude all work by or before the project completion date	a) The process of determining and documenting a list of all project goals, tasks, deliverables, deadlines, and budgets as a part of the planning process<br><br>## **Explanation:**<br><br>Scope management is a crucial part of project management that ensures the project's objectives, tasks, deliverables, and boundaries are clearly defined and maintained throughout the project lifecycle. It involves creating a plan that outlines what will be included in the project (in-scope) and what will not (out-of-scope) to prevent scope creep—uncontrolled changes or continuous growth in the project’s scope.<br><br>Identify which process best describes the systematic steps involved in defining and documenting the project's scope, which is foundational for successful project execution and control.<br><br>- **A) The process of determining and documenting a list of all project goals, tasks, deliverables, deadlines, and budgets as a part of the planning process**<br>  ***Explanation:* The correct description of scope management focuses on determining and documenting the entire list of project objectives, tasks, and deliverables. Scope management ensures that all aspects of the project are clearly defined and agreed upon to guide the project's direction and prevent any ambiguities or deviations during execution. It involves a systematic process for identifying what will be done in the project and how it will be accomplished, helping to set boundaries and expectations.**<br><br>- B) The process of identifying, analyzing, and responding to any risk that arises over the life cycle of a project to help the project remain on track and achieve its goal<br>  *Explanation:* This describes risk management, not scope management. Risk management focuses on identifying potential problems that could affect the project’s success and creating mitigation strategies. It deals with uncertainties, whereas scope management deals with clearly defining what the project includes.<br><br>- C) The process of planning, estimating, budgeting, and controlling project costs<br>  *Explanation:* This describes cost management, which involves handling the financial aspects of the project. While cost management is crucial, it does not encompass the full extent of project deliverables and boundaries, as scope management does.<br><br>- D) The process of wisely managing the amount of time allocated to a project in order to meet the scheduled delivery date and conclude all work by or before the project completion date<br>  *Explanation:* This refers to time management, which focuses on managing the project timeline and ensuring that tasks are completed on schedule. It does not include the comprehensive process of defining the project’s deliverables and objectives, which is the main role of scope management.	project-management philnits 2022 2022S_FE_AM_53
2022S_FE_AM_54	<img src="Pasted image 20241019135108.png">	c) 6<br><br>## **Concepts To Know:**<br><br>#### **Three-Point Estimation:**<br><br>Three-point estimation is a technique used in **project management** to estimate the duration of a task by considering uncertainty. It uses three key estimates:<br><br>1. **Optimistic Estimate (O)**: Best-case scenario, where the activity takes the least time.<br>2. **Most Likely Estimate (M)**: The most realistic, or average duration.<br>3. **Pessimistic Estimate (P)**: Worst-case scenario, where the activity takes the most time.<br><br>#### **Triangular Distribution Formula:**<br><br>To calculate the **expected duration** using the **triangular distribution**, we use the formula:<br><br>\[Expected\: Duration\: (E) = \frac{O + M + P}{3}\]<br><br>- **O**: Optimistic estimate<br>- **M**: Most likely estimate<br>- **P**: Pessimistic estimate<br><br><br>### **We Check Each Answer by Using the Formula:**<br><br>We are given the following estimates for the activity:<br><br>- **Optimistic (O)** = 2 days (if an experienced employee is assigned)<br>- **Most Likely (M)** = 4 days (if an average employee is assigned)<br>- **Pessimistic (P)** = 12 days (if an inexperienced employee is assigned)<br><br>Let’s plug these values into the triangular distribution formula:<br><br>\[𝐸 = \frac{2 + 4 + 12}{3} = \frac{18}{3}  = 6 \: days\]	project-management philnits 2022 2022S_FE_AM_54
2022S_FE_AM_55	<img src="Pasted image 20241019142413.png">	d) 26<br>## **Concepts To Know:**<br><br>#### **Critical Path Method (CPM):**<br><br>The **Critical Path Method (CPM)** is a project management technique used to determine the longest sequence of dependent activities that must be completed on time to ensure the entire project is completed on schedule. It helps to identify:<br><br>1. **Critical Path**: The longest path through the project network. Any delay in this path directly delays the project.<br>2. **Activity**: A task that consumes time and resources.<br>3. **Dummy Activity**: A placeholder used to show dependency but takes no time.<br>4. **Earliest Start (ES) / Latest Finish (LF)**: Used to track the start and finish times for activities and calculate slack (extra time).<br><br>#### **Calculating Path Durations:**<br><br>To find the minimum project completion time, you must identify all possible paths from the start to the end of the project and sum up the durations of activities on each path. The critical path is the one with the longest duration.<br><br>### **We Check Each Path by Summing the Durations:**<br><br>#### Path 1: **A → E → G → I**<br><br>- **Duration** = 3 + 11 + 8 + 4 = **26 days**<br><br>#### Path 2: **A → D → G → I**<br><br>- **Duration** = 3 + 7 + 8 + 4 = **22 days**<br><br>#### Path 3: **B → C → G → I**<br><br>- **Duration** = 8 + 4 + 8 + 4 = **24 days**<br><br>#### Path 4: **B → F → H → I**<br><br>- **Duration** = 8 + 7 + 6 + 4 = **25 days**<br><br>### **Conclusion:**<br><br>The longest path is **Path 1 (A → E → G → I)** with a duration of **26 days**, making this the **minimum project completion time**.	project-management philnits 2022 2022S_FE_AM_55
